feature_key,count
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|1|128|0|0|0|0|0|0,32644
00:1e:49:db:19:c3|08:00:27:e2:09:2d|147.32.84.191|147.32.96.69|1|128|0|0|0|0|0|0,15366
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|65160|0|0,9854
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|17|128|0|0|0|0|1043|161,8260
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|17|128|0|0|0|0|0|0,7952
08:00:27:b5:b7:19|00:1e:49:db:19:c3|218.29.42.137|147.32.84.165|6|43|80|1072|A|6432|0|0,5070
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|64240|0|0,930
08:00:27:b5:b7:19|00:1e:49:db:19:c3|91.212.135.158|147.32.84.165|6|48|5678|1040|A|65535|0|0,631
00:1e:49:db:19:c3|08:00:27:b5:b7:19|0|0|0|0|0|0|0|0|0|0,184
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|147.32.84.165|147.32.84.255|17|128|0|0|0|0|137|137,134
08:00:27:b5:b7:19|00:1e:49:db:19:c3|0|0|0|0|0|0|0|0|0|0,101
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1058|80|A|64240|0|0,80
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1049|80|A|64240|0|0,76
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1057|80|A|64240|0|0,62
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1054|80|A|64240|0|0,60
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1061|80|A|64240|0|0,60
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|63712|0|0,60
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|147.32.84.165|147.32.84.255|17|128|0|0|0|0|138|138,59
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.80.9|17|128|0|0|0|0|1025|53,58
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1050|80|A|64240|0|0,54
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1056|80|A|64240|0|0,50
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1066|80|A|64240|0|0,48
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1063|80|A|64240|0|0,46
ff:ff:ff:ff:ff:ff|08:00:27:e2:09:2d|147.32.84.191|147.32.84.255|17|128|0|0|0|0|137|137,46
ff:ff:ff:ff:ff:ff|08:00:27:1f:65:4a|147.32.84.192|147.32.84.255|17|128|0|0|0|0|137|137,46
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1055|80|A|64240|0|0,42
6c:f0:49:ec:bf:09|08:00:27:b5:b7:19|147.32.84.165|147.32.84.79|1|128|0|0|0|0|0|0,35
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|62780|0|0,30
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1747|PA|63981|0|0,30
08:00:27:b5:b7:19|00:1e:49:db:19:c3|147.32.80.9|147.32.84.165|17|62|0|0|0|0|53|1025,29
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2566|PA|63991|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3376|PA|63983|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2231|PA|63981|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2362|PA|63981|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2858|PA|63991|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1733|PA|63989|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1064|80|A|64240|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1159|PA|63981|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1388|PA|63985|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1842|PA|63979|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2765|PA|63977|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2858|A|63991|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3610|PA|63983|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3981|PA|63985|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|4783|PA|63987|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1297|A|63983|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1466|PA|63981|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1539|PA|63985|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1883|PA|63987|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2373|PA|63991|0|0,26
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1062|80|A|64240|0|0,26
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|0|0|0|0|0|0|0|0|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2826|A|63985|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3811|A|63991|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|4014|A|63985|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|4014|PA|63985|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|4367|PA|63987|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2082|PA|63977|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3316|A|63985|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3316|PA|63985|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3610|A|63983|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3710|A|63987|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|4354|PA|63985|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1733|A|63989|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|1883|A|63987|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2628|A|63983|0|0,24
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2566|A|63991|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2826|PA|63985|0|0,22
